City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hobart,-42.8794,147.3294,45.05,74.0,20.0,1.01,AU,1627806384.0
Caravelas,-17.7125,-39.2481,67.03,74.0,57.0,12.48,BR,1627806384.0
Ushuaia,-54.8,-68.3,42.46,65.0,20.0,13.8,AR,1627806384.0
Jamestown,42.097,-79.2353,64.71,91.0,40.0,1.01,US,1627806384.0
Souillac,-20.5167,57.5167,75.58,60.0,75.0,18.41,MU,1627806384.0
Bluff,-46.6,168.3333,44.8,88.0,46.0,5.66,NZ,1627806385.0
Mitsamiouli,-11.3847,43.2844,78.58,64.0,5.0,9.48,KM,1627806385.0
Bereda,43.2686,-7.5406,62.01,78.0,99.0,3.38,ES,1627806385.0
Longyearbyen,78.2186,15.6401,44.44,70.0,20.0,17.27,SJ,1627806385.0
Kapaa,22.0752,-159.319,80.92,78.0,40.0,3.0,US,1627806385.0
Lompoc,34.6391,-120.4579,62.28,91.0,1.0,0.0,US,1627806385.0
Tilichiki,60.4667,166.1,54.19,53.0,90.0,9.98,RU,1627806385.0
Vaini,-21.2,-175.2,71.76,78.0,75.0,28.77,TO,1627806385.0
Hurghada,27.2574,33.8129,91.22,44.0,3.0,6.89,EG,1627806385.0
Paraná,-31.732,-60.5238,46.54,78.0,0.0,3.69,AR,1627806385.0
Viedma,-40.8135,-62.9967,38.93,70.0,0.0,9.66,AR,1627806385.0
Ribeira Grande,38.5167,-28.7,72.0,78.0,20.0,6.91,PT,1627806385.0
Hilo,19.7297,-155.09,74.93,86.0,90.0,0.0,US,1627806386.0
Upernavik,72.7868,-56.1549,44.76,73.0,100.0,7.11,GL,1627806386.0
Mount Gambier,-37.8333,140.7667,46.02,96.0,59.0,5.32,AU,1627806216.0
Murgab,37.4966,61.9714,96.67,15.0,0.0,11.5,TM,1627806386.0
Pevek,69.7008,170.3133,34.03,91.0,96.0,19.46,RU,1627806386.0
Butaritari,3.0707,172.7902,83.3,70.0,23.0,7.18,KI,1627806386.0
Al Bardīyah,31.7561,25.0865,88.39,50.0,0.0,18.81,LY,1627806386.0
Hermanus,-34.4187,19.2345,60.8,79.0,34.0,12.33,ZA,1627806386.0
Sainte-Rose,16.3324,-61.6979,77.04,88.0,12.0,0.0,GP,1627806386.0
Kavaratti,10.5669,72.642,82.6,76.0,89.0,15.64,IN,1627806386.0
Kuytun,54.3419,101.5036,65.93,57.0,100.0,8.75,RU,1627806386.0
Boca do Acre,-8.7522,-67.3978,61.74,57.0,45.0,1.99,BR,1627806387.0
Margate,51.3813,1.3862,64.69,88.0,60.0,1.99,GB,1627806387.0
Shekhupura,31.7131,73.9783,93.25,35.0,19.0,1.72,PK,1627806164.0
Punta Arenas,-53.15,-70.9167,42.91,75.0,0.0,18.41,CL,1627806354.0
Arona,28.0996,-16.681,70.02,61.0,0.0,8.01,ES,1627806387.0
Isangel,-19.55,169.2667,69.51,60.0,0.0,16.13,VU,1627806387.0
Suzun,53.7841,82.3116,84.58,30.0,38.0,6.71,RU,1627806387.0
Itarema,-2.9248,-39.9167,75.47,82.0,89.0,14.63,BR,1627806387.0
Mount Isa,-20.7333,139.5,87.57,22.0,24.0,2.3,AU,1627806387.0
Yellowknife,62.456,-114.3525,67.32,72.0,20.0,1.01,CA,1627806387.0
Beringovskiy,63.05,179.3167,46.72,81.0,100.0,5.37,RU,1627806387.0
Chui,-33.6971,-53.4616,45.52,93.0,0.0,2.28,UY,1627806387.0
Palmas,-10.2128,-48.3603,78.67,31.0,0.0,3.44,BR,1627806388.0
Hambantota,6.1241,81.1185,95.34,52.0,20.0,17.27,LK,1627806388.0
Grand Gaube,-20.0064,57.6608,75.6,69.0,0.0,14.0,MU,1627806388.0
Castro,-24.7911,-50.0119,43.83,94.0,100.0,3.15,BR,1627806259.0
Trat,12.5,102.5,88.0,69.0,76.0,13.06,TH,1627806388.0
Dunda,-8.1167,34.25,71.49,48.0,86.0,10.4,TZ,1627806388.0
‘Āhuimanu,21.4447,-157.8378,78.51,67.0,75.0,11.5,US,1627806388.0
Faanui,-16.4833,-151.75,77.41,67.0,80.0,15.17,PF,1627806388.0
